region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
芝罘湾,2020,1,3.8845,4.7932,2.2805,0.4647
芝罘湾,2020,2,4.3724,5.3878,2.5788,0.5226
芝罘湾,2020,3,4.7274,5.7693,2.8398,0.5631
芝罘湾,2020,4,4.8556,5.9389,2.8972,0.5774
芝罘湾,2020,5,4.7263,5.826,2.7936,0.5634
芝罘湾,2020,6,4.3711,5.3249,2.5956,0.5216
芝罘湾,2020,7,3.8862,4.7888,2.312,0.4641
芝罘湾,2020,8,3.3999,4.3309,1.9456,0.4083
芝罘湾,2020,9,3.0445,3.7739,1.7249,0.3685
芝罘湾,2020,10,2.9146,3.6293,1.6968,0.3526
芝罘湾,2020,11,3.0455,3.7505,1.6838,0.3693
芝罘湾,2020,12,3.3997,4.2074,1.9989,0.4094
