region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2020,1,2.0934,4.4161,1.4082,0.3309
烟台近岸整体,2020,2,2.3541,5.0106,1.6466,0.3701
烟台近岸整体,2020,3,2.5449,5.3191,1.7921,0.3983
烟台近岸整体,2020,4,2.6164,5.4416,1.8576,0.41
烟台近岸整体,2020,5,2.5461,5.4214,1.7559,0.3998
烟台近岸整体,2020,6,2.354,4.9824,1.6279,0.3704
烟台近岸整体,2020,7,2.0933,4.4579,1.3833,0.331
烟台近岸整体,2020,8,1.8316,3.9104,1.2202,0.293
烟台近岸整体,2020,9,1.6389,3.5288,1.0609,0.2633
烟台近岸整体,2020,10,1.569,3.3459,0.9304,0.2533
烟台近岸整体,2020,11,1.64,3.5281,1.0273,0.2643
烟台近岸整体,2020,12,1.8323,3.864,1.2376,0.2925
