region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
养马岛附近,2023,1,3.3525,4.8536,1.6247,0.6748
养马岛附近,2023,2,3.7701,5.4597,1.8585,0.7593
养马岛附近,2023,3,4.0759,5.9042,2.0672,0.8184
养马岛附近,2023,4,4.1887,6.1035,2.095,0.8419
养马岛附近,2023,5,4.0763,5.925,2.067,0.8197
养马岛附近,2023,6,3.7703,5.4528,1.9511,0.7594
养马岛附近,2023,7,3.3506,4.957,1.6697,0.6758
养马岛附近,2023,8,2.9335,4.3419,1.3874,0.5926
养马岛附近,2023,9,2.6249,3.856,1.265,0.5312
养马岛附近,2023,10,2.5152,3.7598,1.2016,0.5093
养马岛附近,2023,11,2.6245,3.8381,1.2613,0.5327
养马岛附近,2023,12,2.9307,4.3239,1.4389,0.5925
