region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
四十里湾,2025,1,7.5074,7.866,7.1211,0.0918
四十里湾,2025,2,7.5009,7.8451,7.1389,0.0915
四十里湾,2025,3,7.4961,7.9436,7.1694,0.0915
四十里湾,2025,4,7.4965,7.8613,7.1621,0.091
四十里湾,2025,5,7.4963,7.838,7.1677,0.0909
四十里湾,2025,6,7.4995,7.8695,7.1569,0.0919
四十里湾,2025,7,7.5066,7.9118,7.1758,0.0914
四十里湾,2025,8,7.5119,7.83,7.181,0.0909
四十里湾,2025,9,7.5154,7.9034,7.1145,0.0926
四十里湾,2025,10,7.5174,7.8992,7.187,0.0909
四十里湾,2025,11,7.5144,7.8934,7.1402,0.0916
四十里湾,2025,12,7.5115,7.8516,7.1489,0.0919
