region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2025,1,7.5232,7.943,7.1897,0.0918
烟台近岸整体,2025,2,7.5211,7.8663,7.1116,0.0915
烟台近岸整体,2025,3,7.5185,7.8718,7.1291,0.0928
烟台近岸整体,2025,4,7.5182,7.8348,7.1866,0.0917
烟台近岸整体,2025,5,7.5184,7.8544,7.1873,0.0921
烟台近岸整体,2025,6,7.5201,7.9002,7.1754,0.091
烟台近岸整体,2025,7,7.5245,7.9616,7.2005,0.0912
烟台近岸整体,2025,8,7.5274,7.8879,7.2005,0.0914
烟台近岸整体,2025,9,7.529,7.876,7.1455,0.0912
烟台近岸整体,2025,10,7.5287,7.9349,7.1999,0.0915
烟台近岸整体,2025,11,7.5287,7.9025,7.1877,0.0909
烟台近岸整体,2025,12,7.5287,7.9564,7.1386,0.0908
芝罘湾,2025,1,7.502,7.8696,7.076,0.091
芝罘湾,2025,2,7.4964,7.8069,7.1864,0.0927
芝罘湾,2025,3,7.492,7.8567,7.1667,0.0912
芝罘湾,2025,4,7.4895,7.8388,7.1488,0.0918
芝罘湾,2025,5,7.4901,7.8337,7.1309,0.0918
芝罘湾,2025,6,7.4971,7.8704,7.1049,0.0912
芝罘湾,2025,7,7.5021,7.8313,7.1658,0.0911
芝罘湾,2025,8,7.5076,7.865,7.1547,0.0901
芝罘湾,2025,9,7.5125,7.9532,7.2011,0.0914
芝罘湾,2025,10,7.5148,7.8617,7.1745,0.0919
芝罘湾,2025,11,7.5125,7.8407,7.2056,0.0913
芝罘湾,2025,12,7.5073,7.8354,7.1292,0.0909
四十里湾,2025,1,7.5074,7.866,7.1211,0.0918
四十里湾,2025,2,7.5009,7.8451,7.1389,0.0915
四十里湾,2025,3,7.4961,7.9436,7.1694,0.0915
四十里湾,2025,4,7.4965,7.8613,7.1621,0.091
四十里湾,2025,5,7.4963,7.838,7.1677,0.0909
四十里湾,2025,6,7.4995,7.8695,7.1569,0.0919
四十里湾,2025,7,7.5066,7.9118,7.1758,0.0914
四十里湾,2025,8,7.5119,7.83,7.181,0.0909
四十里湾,2025,9,7.5154,7.9034,7.1145,0.0926
四十里湾,2025,10,7.5174,7.8992,7.187,0.0909
四十里湾,2025,11,7.5144,7.8934,7.1402,0.0916
四十里湾,2025,12,7.5115,7.8516,7.1489,0.0919
养马岛附近,2025,1,7.5131,7.9135,7.142,0.0916
养马岛附近,2025,2,7.5078,7.8369,7.1732,0.0915
养马岛附近,2025,3,7.5035,7.8895,7.1511,0.0924
养马岛附近,2025,4,7.5033,7.8772,7.1072,0.0912
养马岛附近,2025,5,7.5055,7.832,7.1868,0.091
养马岛附近,2025,6,7.5082,7.8306,7.1849,0.0924
养马岛附近,2025,7,7.512,7.8888,7.1422,0.0917
养马岛附近,2025,8,7.5168,7.8851,7.1789,0.0914
养马岛附近,2025,9,7.52,7.8518,7.1901,0.09
养马岛附近,2025,10,7.5216,7.8643,7.1898,0.0917
养马岛附近,2025,11,7.5203,7.8541,7.1399,0.0918
养马岛附近,2025,12,7.5172,7.8774,7.206,0.0913
