region,year,month,mean_chl_a,max_chl_a,min_chl_a,std_chl_a
烟台近岸整体,2023,1,2.2811,4.9686,1.5449,0.3605
烟台近岸整体,2023,2,2.5667,5.4141,1.8394,0.4007
烟台近岸整体,2023,3,2.7745,5.876,1.9088,0.4343
烟台近岸整体,2023,4,2.8532,5.9723,2.0337,0.4457
烟台近岸整体,2023,5,2.7762,5.8573,1.9686,0.4327
烟台近岸整体,2023,6,2.5654,5.4379,1.758,0.402
烟台近岸整体,2023,7,2.2811,4.7745,1.5849,0.3599
烟台近岸整体,2023,8,1.9962,4.2669,1.3232,0.3176
烟台近岸整体,2023,9,1.7883,3.8039,1.146,0.2844
烟台近岸整体,2023,10,1.7113,3.6335,1.0741,0.2748
烟台近岸整体,2023,11,1.7879,3.8319,1.1782,0.2861
烟台近岸整体,2023,12,1.9969,4.2801,1.3738,0.3161
芝罘湾,2023,1,4.2356,5.171,2.4315,0.5065
芝罘湾,2023,2,4.7656,5.786,2.8297,0.5676
芝罘湾,2023,3,5.1534,6.2062,2.9836,0.6128
芝罘湾,2023,4,5.2941,6.4232,3.1896,0.6295
芝罘湾,2023,5,5.152,6.2526,3.0868,0.6132
芝罘湾,2023,6,4.7646,5.7876,2.7319,0.5675
芝罘湾,2023,7,4.2355,5.2402,2.4378,0.5063
芝罘湾,2023,8,3.7042,4.5293,2.1528,0.444
芝罘湾,2023,9,3.3185,4.0991,1.9315,0.4005
芝罘湾,2023,10,3.1757,3.9548,1.7789,0.3831
芝罘湾,2023,11,3.319,4.1371,1.8841,0.4007
芝罘湾,2023,12,3.7056,4.6376,2.1114,0.4446
四十里湾,2023,1,3.8599,5.0765,2.0541,0.5918
四十里湾,2023,2,4.3421,5.6995,2.3643,0.6666
四十里湾,2023,3,4.696,6.0942,2.4824,0.7195
四十里湾,2023,4,4.8264,6.2132,2.6334,0.7402
四十里湾,2023,5,4.695,6.0739,2.5204,0.7198
四十里湾,2023,6,4.3421,5.708,2.3076,0.6667
四十里湾,2023,7,3.8612,5.0529,2.1175,0.5937
四十里湾,2023,8,3.3776,4.438,1.7973,0.5207
四十里湾,2023,9,3.0242,4.0196,1.6332,0.4685
四十里湾,2023,10,2.895,3.8524,1.5205,0.4477
四十里湾,2023,11,3.0246,4.0342,1.6017,0.4679
四十里湾,2023,12,3.3778,4.4568,1.7093,0.5196
养马岛附近,2023,1,3.3519,4.9112,1.6671,0.6754
养马岛附近,2023,2,3.7703,5.4998,1.8868,0.7583
养马岛附近,2023,3,4.0771,5.875,2.0306,0.8199
养马岛附近,2023,4,4.1894,6.0472,2.1965,0.8431
养马岛附近,2023,5,4.0783,5.8695,2.0564,0.8194
养马岛附近,2023,6,3.769,5.4839,1.9485,0.7587
养马岛附近,2023,7,3.3503,4.8982,1.642,0.676
养马岛附近,2023,8,2.9327,4.3235,1.4031,0.5935
养马岛附近,2023,9,2.6266,3.9016,1.2663,0.5308
养马岛附近,2023,10,2.5133,3.7491,1.1664,0.5094
养马岛附近,2023,11,2.6261,3.9453,1.3072,0.5306
养马岛附近,2023,12,2.9332,4.2937,1.4258,0.5913
